P/bar	ice12111	iceXI	iceII	iceIX	iceXIII	iceXIV	iceXV	iceLTA	iceMAR	iceNON	icei	ice0	iceACO	iceBSV	iceDOH	ice11215848	ice12232449	ice14427301	ice15124949650	ice1532155471	ice16927915	ice17625256	ice20228176	ice533726600	ice582511	ice6128842	ice6721563	ice8421419	icePCOD8007225	icePCOD8036144	icePCOD8047078	icePCOD8047931	icePCOD8204698	icePCOD8301974	icePCOD8321499	icePCOD8324623	iceIc	iceIh	iceIII	iceIV	iceV	liquid	iceVIII	iceVII	iceVI	iceIII-part	iceV-part
1000	-4.853802187612922	-2.60033080944933	0.	6.057219162870748	8.850464979505984	16.104275720972232	10.899575150442681	NaN	44.02751585254158	27.444777997120774	8.638836653765479	NaN	56.78136452561526	NaN	24.974277169178983	NaN	NaN	16.373599306405445	NaN	6.415410516218821	NaN	49.97597537904879	NaN	NaN	NaN	14.472130331702877	NaN	NaN	15.773717666854846	17.624609862960504	NaN	NaN	15.97355733635691	NaN	13.135689352846557	21.78418311889178	-5.13669325627312	-4.522639331109984	4.480032926295928	NaN	7.76277513102122	NaN	NaN	NaN	18.793394739327237	6.051107145272287	10.679454418550957
1050	-4.64540765141232	-2.389522353189898	0.	6.077496773167952	8.817370921898055	16.055453866309506	10.846894595202945	NaN	44.5425029168724	27.84066134523795	8.863546824388928	NaN	57.270680183401225	NaN	25.404521889051743	NaN	NaN	16.70016926727565	NaN	6.506565376275497	NaN	50.4744651200684	NaN	NaN	NaN	14.585467107253969	NaN	NaN	15.842833346475318	17.677151323425296	NaN	NaN	16.064879358038343	NaN	13.305702752262869	21.91321650211814	-4.912122430268274	-4.298572677415999	4.520365133135099	NaN	7.73492607745509	NaN	NaN	NaN	18.738023298733484	6.088081629957259	10.651929413817161
1100	-4.437258638727775	-2.1790491222761164	0.	6.097493450849034	8.784217333088332	16.006594104984675	10.794227351781757	NaN	45.05556146912209	28.23553635191985	9.085834360809717	NaN	57.748823486390414	NaN	25.83400995275525	NaN	NaN	17.026206665770886	NaN	6.597521009481318	NaN	50.971396144841364	NaN	NaN	NaN	14.69848833105464	NaN	NaN	15.911593544370772	17.729286163473915	NaN	NaN	16.15616605957251	NaN	13.475382673526576	22.042166217672868	-4.687814582484033	-4.074842017650581	4.560307048643289	NaN	7.707009296370605	NaN	NaN	NaN	18.682648264627854	6.124684865428252	10.624322406001163
1150	-4.229354111387783	-1.9689087762700457	0.	6.117210803936073	8.751004547493427	15.957696567490819	10.741573478051007	NaN	45.56681954535424	28.6294256771221	9.305722040620346	NaN	58.215968532047995	NaN	26.262747477855044	NaN	NaN	17.351714638250282	NaN	6.688278300148761	NaN	51.466866733948535	NaN	NaN	NaN	14.811194810283132	NaN	NaN	15.97999969468696	17.781016461299913	NaN	NaN	16.247415125793818	NaN	13.644731085198154	22.171028786526556	-4.463770799051298	-3.8514440558242753	4.599861983594861	NaN	7.679025365490275	NaN	NaN	NaN	18.6272702898925	6.160919921785155	10.596634579620044
1200	-4.021693039248525	-1.7590989967497097	0.	6.136650433512377	8.717732896566233	15.90876138116459	10.688933030833233	NaN	46.07640081243215	29.022351611670008	9.5232325378634	NaN	58.67228809609147	NaN	26.690740532830535	NaN	NaN	17.676696305980443	NaN	6.778838127906628	NaN	51.96097188084385	NaN	NaN	NaN	14.923587347420472	NaN	NaN	16.048053226779018	17.832344287313486	NaN	NaN	16.33862425459061	NaN	13.813749936706557	22.299800752846714	-4.23999210733445	-3.6283755392923944	4.639033224639129	NaN	7.650974855366982	NaN	NaN	NaN	18.571890018112207	6.196789847995727	10.568867105415883
1250	-3.8142744001938578	-1.549617487309089	0.	6.155813933722463	8.6844027087959	15.859788670186205	10.636306065901628	NaN	46.584424568018754	29.414336077258575	9.738388423031536	NaN	59.117953632490625	NaN	27.117995137074985	NaN	NaN	18.00115477513543	NaN	6.869201367700026	NaN	52.45380329185433	NaN	NaN	NaN	15.0356667402505	NaN	NaN	16.115755565211472	17.88327170414151	NaN	NaN	16.429791156905203	NaN	13.98244115834921	22.428478683997838	-4.016479475931339	-3.4056332587550124	4.677824034300342	NaN	7.622858329383961	NaN	NaN	NaN	18.5165080835744	6.232297671895611	10.541021140355753
1300	-3.607097180135314	-1.3404619735581256	0.	6.174702891772073	8.651014309707858	15.810778555579464	10.583692637980041	NaN	47.09100574057667	29.805400626452496	9.951212163067476	NaN	59.553135273467625	NaN	27.54451726089553	NaN	NaN	18.325093136796774	NaN	6.959368889790389	NaN	52.945449386180044	NaN	NaN	NaN	15.147433781859858	NaN	NaN	16.183108129758207	17.93380076662751	NaN	NaN	16.520913556733845	NaN	14.150806661291998	22.55705917054135	-3.793233814673293	-3.183214048256968	4.716237650977697	NaN	7.594676343754809	NaN	NaN	NaN	18.46112511126917	6.2674464001883194	10.51309782763173
1350	-3.4001603730121053	-1.1316302031227201	0.	6.19331888792817	8.617568021863814	15.76173115521174	10.531092800742964	NaN	47.59625488936822	30.195566442686143	10.161726121364028	NaN	59.97800182949691	NaN	27.970312825513165	NaN	NaN	18.648514466953472	NaN	7.049341559755454	NaN	53.43599529589419	NaN	NaN	NaN	15.258889260637984	NaN	NaN	16.25011233540251	17.983933521831688	NaN	NaN	16.611989191126735	NaN	14.31884833756928	22.685538826235625	-3.570255974625112	-2.9611147851878648	4.754277288945328	NaN	7.5664294475234835	NaN	NaN	NaN	18.405741716889203	6.302239018445248	10.485098296660892
1400	-3.193462980791118	-0.9231199456447333	0.	6.211663495518932	8.584064164861738	15.71264658379397	10.478506606815559	NaN	48.10027820445536	30.584854340263576	10.36995255776407	NaN	60.39272078930525	NaN	28.395387703062752	NaN	NaN	18.971421826501956	NaN	7.139120238489281	NaN	53.92552286594296	NaN	NaN	NaN	15.370033960277121	NaN	NaN	16.316769592337025	18.033672009030912	NaN	NaN	16.703015810188024	NaN	14.486568060083894	22.81391428803599	-3.347546748085067	-2.7393323902820708	4.7919461383523165	NaN	7.5381181825643	NaN	NaN	NaN	18.350358506829853	6.336678491105664	10.457023663085304
1450	-2.9870040134669176	-0.7149289927819888	0.	6.2297382809337645	8.550503055335875	15.663524952880675	10.425934107773628	NaN	48.60317750669975	30.97328476435855	10.575913628560562	NaN	60.79745831987175	NaN	28.819747716593003	NaN	NaN	19.293818261246155	NaN	7.2287057822022405	NaN	54.41411065414569	NaN	NaN	NaN	15.480868659772312	NaN	NaN	16.383081305963792	18.083018259718717	NaN	NaN	16.793991177075814	NaN	14.653967682607135	22.942182216094693	-3.1251068685849064	-2.517863827618718	4.829247365222683	NaN	7.509743083581939	NaN	NaN	NaN	18.29497607818911	6.3707677614767135	10.428875028772035
1500	-2.780782489061744	-0.5070551582082667	0.	6.247544803623287	8.516885006956745	15.61436637086994	10.373375354143631	NaN	49.10505024776274	31.360877791014502	10.779631386496535	NaN	61.19237926642783	NaN	29.243398640066513	NaN	NaN	19.61570680189743	NaN	7.318099042421027	NaN	54.901833931194744	NaN	NaN	NaN	15.591394133421412	NaN	NaN	16.449048876894224	18.13197429760529	NaN	NaN	16.88491306800215	NaN	14.821049039778778	23.07033929376097	-2.90293701088985	-2.296706104621702	4.86618411145539	NaN	7.481304678111433	NaN	NaN	NaN	18.239595018767588	6.4045097517334195	10.400653481813155
