# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.25 300 7000 153.639 0.0334905
1 300 8000 361.451 0.081612
0.707107 300 8000 280.058 0.0733239
0.5 300 8000 221.196 0.0552497
0.25 300 8000 153.584 0.02398
1 300 9000 361.376 0.0840005
0.707107 300 9000 279.853 0.0740219
0.5 300 9000 221.032 0.0545109
0.25 300 9000 153.53 0.0145028
1 325 2000 368.775 0.097176
0.707107 325 2000 287.026 0.0964605
0.5 325 2000 228.391 0.0408169
0.25 325 2000 161.751 0.0286464
1 325 3000 368.527 0.0909932
0.707107 325 3000 286.79 0.0790205
0.5 325 3000 228.181 0.0490188
0.25 325 3000 161.672 0.0191304
1 325 4000 368.348 0.0786113
0.707107 325 4000 286.664 0.0606191
0.5 325 4000 228.116 0.0415723
0.25 325 4000 161.664 0.0326104
1 325 5000 368.145 0.0649988
0.707107 325 5000 286.569 0.07307
0.5 325 5000 227.974 0.0525981
0.25 325 5000 161.566 0.0370866
1 325 6000 368.09 0.0816757
0.707107 325 6000 286.491 0.0504472
0.5 325 6000 227.925 0.0441687
0.25 325 6000 161.563 0.032705
1 325 7000 367.279 0.116616
0.707107 325 7000 286.472 0.0690405
0.5 325 7000 228.372 0.055645
0.25 325 7000 161.937 0.0404677
1 325 8000 367.815 0.0855024
0.707107 325 8000 286.217 0.090382
0.5 325 8000 227.751 0.0481896
0.25 325 8000 161.443 0.0350191
1 325 9000 367.552 0.114861
0.707107 325 9000 285.959 0.0614106
0.5 325 9000 227.66 0.0470243
0.25 325 9000 161.395 0.0195887
