# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.5 250 5000 209.324 0.074063
0.25 250 5000 138.799 0.0412343
1 250 6000 349.865 0.134746
0.707107 250 6000 269.021 0.0835288
0.5 250 6000 209.312 0.0756342
0.25 250 6000 138.736 0.0349298
1 250 7000 349.864 0.144853
0.707107 250 7000 268.931 0.0799574
0.5 250 7000 209.238 0.0795384
0.25 250 7000 138.71 0.0336381
1 250 8000 350.035 0.12592
0.707107 250 8000 268.964 0.0862497
0.5 250 8000 209.248 0.0747903
0.25 250 8000 138.68 0.0319713
1 250 9000 349.955 0.144367
0.707107 250 9000 268.935 0.0821554
0.5 250 9000 209.185 0.073273
0.25 250 9000 138.646 0.0329504
1 275 10000 356.72 0.11611
0.707107 275 10000 274.93 0.076247
0.5 275 10000 215.287 0.0730391
0.25 275 10000 146.03 0.0341961
1 275 1000 356.393 0.109831
0.707107 275 1000 275.129 0.0963184
0.5 275 1000 215.677 0.0618455
0.25 275 1000 146.394 0.0548401
1 275 2000 356.436 0.121697
0.707107 275 2000 275.083 0.085094
0.5 275 2000 215.654 0.0662857
0.25 275 2000 146.334 0.0383793
1 275 3000 356.545 0.118137
0.707107 275 3000 275.09 0.0896476
0.5 275 3000 215.592 0.0679108
0.25 275 3000 146.28 0.0435735
1 275 4000 356.583 0.0995042
0.707107 275 4000 275.093 0.106057
0.5 275 4000 215.569 0.0670936
0.25 275 4000 146.241 0.0456903
1 275 5000 356.576 0.131977
0.707107 275 5000 275.058 0.0993114
0.5 275 5000 215.513 0.0664746
0.25 275 5000 146.214 0.0417822
1 275 6000 356.581 0.118537
0.707107 275 6000 275.083 0.0906299
0.5 275 6000 215.484 0.0699459
0.25 275 6000 146.161 0.0390713
1 275 7000 356.7 0.114498
0.707107 275 7000 275.009 0.0864809
0.5 275 7000 215.412 0.0680868
0.25 275 7000 146.116 0.045201
1 275 8000 356.561 0.123192
0.707107 275 8000 274.96 0.0858787
0.5 275 8000 215.369 0.0735431
0.25 275 8000 146.115 0.0296622
1 275 9000 356.552 0.113398
0.707107 275 9000 274.931 0.0857139
0.5 275 9000 215.358 0.0751352
0.25 275 9000 146.067 0.0392716
1 300 10000 363.079 0.11964
0.707107 300 10000 280.88 0.0888282
0.5 300 10000 221.6 0.0550287
0.25 300 10000 153.654 0.0431154
1 300 4000 363.045 0.107557
0.707107 300 4000 281.121 0.0959276
0.5 300 4000 221.9 0.0541863
0.25 300 4000 153.878 0.0437558
1 300 5000 363.01 0.100417
0.707107 300 5000 281.101 0.0922914
0.5 300 5000 221.891 0.0553737
0.25 300 5000 153.848 0.0390614
1 300 6000 363.138 0.0999897
0.707107 300 6000 281.02 0.0868195
0.5 300 6000 221.768 0.0526956
0.25 300 6000 153.787 0.0492264
1 300 7000 363.021 0.108677
0.707107 300 7000 281.024 0.0906266
0.5 300 7000 221.778 0.0521805
0.25 300 7000 153.765 0.0468533
1 300 8000 363.032 0.116825
0.707107 300 8000 280.957 0.0770873
0.5 300 8000 221.734 0.06061
0.25 300 8000 153.729 0.0437771
1 300 9000 363.042 0.112479
0.707107 300 9000 280.922 0.086827
