# y=sqrt(m0/m) temperature[K] pressure[bar] T_cv[meV/molecule] T_cv_error[meV/molecule]
0.5 250 7000 208.124 0.0891521
0.25 250 7000 138.469 0.0605521
1 250 8000 347.281 0.164548
0.707107 250 8000 267.092 0.089268
0.5 250 8000 208.077 0.0788612
0.25 250 8000 138.461 0.0593083
1 250 9000 347.152 0.160802
0.707107 250 9000 267.052 0.0733707
0.5 250 9000 207.95 0.081003
0.25 250 9000 138.376 0.0581737
1 275 0 354.614 0.132035
0.707107 275 0 273.903 0.0928569
0.5 275 0 215.035 0.0737662
0.25 275 0 146.35 0.0396246
1 275 10000 354.038 0.12419
0.707107 275 10000 273.009 0.0878349
0.5 275 10000 214.119 0.0764663
0.25 275 10000 145.761 0.0401916
1 275 3000 354.609 0.133706
0.707107 275 3000 273.541 0.06629
0.5 275 3000 214.728 0.0782395
0.25 275 3000 146.146 0.0480514
1 275 4000 354.424 0.133059
0.707107 275 4000 273.591 0.0996758
0.5 275 4000 214.63 0.086373
0.25 275 4000 146.091 0.0458918
1 275 5000 354.53 0.143278
0.707107 275 5000 273.569 0.108803
0.5 275 5000 214.647 0.0816947
0.25 275 5000 146.072 0.0438415
1 275 6000 354.428 0.135116
0.707107 275 6000 273.488 0.0893849
0.5 275 6000 214.55 0.0727107
0.25 275 6000 146.017 0.0418373
1 275 7000 354.305 0.151433
0.707107 275 7000 273.354 0.0891665
0.5 275 7000 214.402 0.0827808
0.25 275 7000 145.926 0.0435882
1 275 8000 354.09 0.147727
0.707107 275 8000 273.173 0.0686716
0.5 275 8000 214.291 0.0771121
0.25 275 8000 145.85 0.0394362
1 275 9000 354.245 0.144252
0.707107 275 9000 273.155 0.0838289
0.5 275 9000 214.251 0.0830224
0.25 275 9000 145.852 0.0397237
1 300 10000 360.257 0.150641
0.707107 300 10000 279.02 0.0840237
0.5 300 10000 220.413 0.074804
0.25 300 10000 153.383 0.0370138
1 300 4000 361.016 0.1223
0.707107 300 4000 279.827 0.0772021
0.5 300 4000 221.123 0.0885248
0.25 300 4000 153.769 0.0482048
1 300 5000 361.022 0.155209
0.707107 300 5000 279.725 0.0958581
0.5 300 5000 221.022 0.0910042
0.25 300 5000 153.696 0.0464588
1 300 6000 360.991 0.139252
0.707107 300 6000 279.586 0.105073
0.5 300 6000 220.854 0.0793588
0.25 300 6000 153.631 0.0402745
1 300 7000 360.98 0.163519
0.707107 300 7000 279.59 0.0964917
0.5 300 7000 220.802 0.0774981
0.25 300 7000 153.613 0.0423081
1 300 8000 360.742 0.151929
0.707107 300 8000 279.398 0.0900355
0.5 300 8000 220.699 0.0863691
0.25 300 8000 153.533 0.0340123
1 300 9000 360.678 0.141652
0.707107 300 9000 279.229 0.10839
0.5 300 9000 220.576 0.0800686
0.25 300 9000 153.473 0.0292142
1 325 2000 367.381 0.223834
0.707107 325 2000 286.4 0.099589
0.5 325 2000 227.984 0.0766994
0.25 325 2000 161.811 0.0299431
1 325 3000 367.077 0.185067
